,Mean,Maximum_value,Minimum_value,Range,Standard Deviation,Variance,Absolute_mean,Absolute_MAX,RMS,Crest Factor,Shape factor,Impulse Factor,Kurtosis,Skewness,Clearance Factor,FAULT TYPE,Label,Label_no
0,0.021097143460000002,1.548134769,-1.476162462,3.0242972310000003,0.29893760589611784,0.08936369221890267,0.20398972961749998,1.548134769,0.29968113334188135,5.1659400501327575,1.4690991252540595,7.589278008764946,4.5530564799716,-0.09785358605134199,9.597586228386179,INNER RACE FAULT OF 0.007 INCH,IR_7_1,0
1,0.021229353454375,1.362467077,-1.394593846,2.757060923,0.2779901391397583,0.07727851745894218,0.192229558835625,1.394593846,0.2787995747970806,5.002137636024125,1.4503470563311307,7.25483559577075,4.696206108413625,-0.014077921798452395,9.109635060850005,INNER RACE FAULT OF 0.007 INCH,IR_7_1,0
2,0.020256814604375003,1.572542769,-1.2204,2.7929427689999997,0.2954252893054321,0.08727610156119826,0.202345970771875,1.572542769,0.29611896274827504,5.310510189571304,1.4634290053747587,7.771554644756855,3.7355283714025944,-0.07313810440953597,9.953076954791285,INNER RACE FAULT OF 0.007 INCH,IR_7_1,0
3,0.020034639220625,1.432770462,-1.398974769,2.831745231,0.26850077698108055,0.07209266723944395,0.18140281153687499,1.432770462,0.2692471987006449,5.321394127457521,1.4842504171767656,7.8982814536408155,5.582666109211912,0.0589763037560022,10.071041768160242,INNER RACE FAULT OF 0.007 INCH,IR_7_1,0
4,0.019870093849375003,1.271302154,-1.161361846,2.432664,0.2861344520516833,0.08187292465091706,0.196291430781875,1.271302154,0.28682354380437464,4.432349371106997,1.461212762380349,6.476605468390058,3.5875585512554657,-0.06798388965995558,8.281395390820611,INNER RACE FAULT OF 0.007 INCH,IR_7_1,0
5,0.02154801346125,1.516842462,-1.284862154,2.8017046160000003,0.2680390511182314,0.07184493292436185,0.18187154423500002,1.516842462,0.2689037928488329,5.640836992034206,1.4785369199998475,8.340185752423459,4.8304721612544546,-0.12876180011773902,10.665672247266206,INNER RACE FAULT OF 0.007 INCH,IR_7_1,0
6,0.020966758853125,1.285279385,-1.500779077,2.7860584619999997,0.2826742969757835,0.07990475817075345,0.194816128855625,1.500779077,0.28345081257170274,5.294671986944322,1.4549658400294128,7.703566875164646,4.268979011368471,0.03506622700165511,9.759497018143469,INNER RACE FAULT OF 0.007 INCH,IR_7_1,0
7,0.021160380008125,1.448208,-1.324916308,2.773124308,0.27550971739522717,0.07590560437919795,0.18723726230437499,1.448208,0.2763211285104456,5.241032445860376,1.4757806491597538,7.734614265219157,4.743098537246235,-0.12728239319483856,9.855217290481672,INNER RACE FAULT OF 0.007 INCH,IR_7_1,0
8,0.023116018853124996,1.265669538,-1.313233846,2.578903384,0.2751404930109797,0.07570229089432497,0.191490538836875,1.313233846,0.2761098354313787,4.756200893562072,1.4418980546427325,6.857956815917178,3.6873863896413566,0.07357879118447037,8.669329642338466,INNER RACE FAULT OF 0.007 INCH,IR_7_1,0
9,0.023322808846875,1.345777846,-1.228327385,2.574105231,0.2943861721087079,0.08666321832881778,0.20191087731687504,1.345777846,0.2953086042453312,4.557191448719113,1.4625690709167667,6.665207263142947,3.8688395905920663,-0.05344930043223825,8.533698977924207,INNER RACE FAULT OF 0.007 INCH,IR_7_1,0
10,0.021258689985625,1.568996308,-1.433813538,3.002809846,0.2755895389419656,0.07594959397424515,0.19036258154062502,1.568996308,0.276408259417388,5.676372736860769,1.4520094084687547,8.24214661989737,5.091017994256928,0.015612609935036978,10.344131748520462,INNER RACE FAULT OF 0.007 INCH,IR_7_1,0
11,0.022770108459999997,1.398140308,-1.349532923,2.7476732310000003,0.2950746111243586,0.08706902613019146,0.20158217769375,1.398140308,0.29595186089881514,4.724215295534226,1.468144973353917,6.935832939180263,3.664983942794273,-0.03786066119537824,8.905003599379668,INNER RACE FAULT OF 0.007 INCH,IR_7_1,0
